Dataset Name,Variations,Priority,Alexander,Sihyun,Statistics,Run3Summer22,Run3Summer22EE,
DY,
DYto2L-4Jets_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-2Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,submitted,null,,FALSE,FALSE,
DYto2L_TuneCP5_13p6TeV-powheg-pythia8,,3,submitted,null,,FALSE,FALSE,
DYto2L-4Jets_0J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-4Jets_1J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-4Jets_2J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-4Jets_3J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-4Jets_4J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-2Jets_0J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-2Jets_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L-2Jets_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
DYto2L_MLL-XtoX_TuneCP5_13p6TeV-powheg-pythia8,,3,null,null,,FALSE,FALSE,
DYto2L-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,3,null,null,,FALSE,FALSE,
DYto2L-2Jets_HT-XtoX_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,1,null,null,,FALSE,FALSE,
DYBto2LB-4Jets_XX-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
DYto2L-4Jets_XX-XtoX_BGenFilter_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
Z,
Zto2Nu-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,2,null,null,,FALSE,FALSE,
ZBto2NuB-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
Zto2Nu-4Jets_HT-XtoX_BGenFilter_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
Zto2Q-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
W,
WtoLNu-4Jets_0J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-4Jets_1J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-4Jets_2J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-4Jets_3J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-4Jets_4J_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-2Jets_0J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-2Jets_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
WtoLNu-2Jets_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,gridpack,null,,FALSE,FALSE,
